make,model,mfg_year,emission_standard,fuel_delivery_system,fuel_tank_material,max_safe_ethanol_pct,source_reference
Hyundai,Venue,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Hyundai India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Hyundai,Verna,2016,BS3,Carburettor,Steel,5,Hyundai India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Hyundai,Verna,2019,BS4,Carburettor,Steel,10,Hyundai India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Hyundai,Verna,2022,BS6,Fuel_Injection,Plastic,10,Hyundai India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Hyundai,Verna,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Hyundai India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Hyundai,Aura,2016,BS3,Carburettor,Steel,5,Hyundai India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Hyundai,Aura,2019,BS4,Carburettor,Steel,10,Hyundai India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Hyundai,Aura,2022,BS6,Fuel_Injection,Plastic,10,Hyundai India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Hyundai,Aura,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Hyundai India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Hyundai,Alcazar,2016,BS3,Carburettor,Steel,5,Hyundai India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Hyundai,Alcazar,2019,BS4,Carburettor,Steel,10,Hyundai India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Hyundai,Alcazar,2022,BS6,Fuel_Injection,Plastic,10,Hyundai India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Hyundai,Alcazar,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Hyundai India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Hyundai,Tucson,2016,BS3,Carburettor,Steel,5,Hyundai India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Hyundai,Tucson,2019,BS4,Carburettor,Steel,10,Hyundai India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Hyundai,Tucson,2022,BS6,Fuel_Injection,Plastic,10,Hyundai India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Hyundai,Tucson,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Hyundai India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Hyundai,Exter,2016,BS3,Carburettor,Steel,5,Hyundai India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Hyundai,Exter,2019,BS4,Carburettor,Steel,10,Hyundai India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Hyundai,Exter,2022,BS6,Fuel_Injection,Plastic,10,Hyundai India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Hyundai,Exter,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Hyundai India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Hyundai,Santro,2016,BS3,Carburettor,Steel,5,Hyundai India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Hyundai,Santro,2019,BS4,Carburettor,Steel,10,Hyundai India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Hyundai,Santro,2022,BS6,Fuel_Injection,Plastic,10,Hyundai India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Hyundai,Santro,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Hyundai India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Hyundai,Elantra,2016,BS3,Carburettor,Steel,5,Hyundai India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Hyundai,Elantra,2019,BS4,Carburettor,Steel,10,Hyundai India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Hyundai,Elantra,2022,BS6,Fuel_Injection,Plastic,10,Hyundai India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Hyundai,Elantra,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Hyundai India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Tata,Nexon,2016,BS3,Carburettor,Steel,5,Tata India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Tata,Nexon,2019,BS4,Carburettor,Steel,10,Tata India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Tata,Nexon,2022,BS6,Fuel_Injection,Plastic,10,Tata India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Tata,Nexon,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Tata India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Tata,Tiago,2016,BS3,Carburettor,Steel,5,Tata India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Tata,Tiago,2019,BS4,Carburettor,Steel,10,Tata India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Tata,Tiago,2022,BS6,Fuel_Injection,Plastic,10,Tata India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Tata,Tiago,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Tata India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Tata,Tigor,2016,BS3,Carburettor,Steel,5,Tata India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Tata,Tigor,2019,BS4,Carburettor,Steel,10,Tata India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Tata,Tigor,2022,BS6,Fuel_Injection,Plastic,10,Tata India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Tata,Tigor,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Tata India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Tata,Punch,2016,BS3,Carburettor,Steel,5,Tata India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Tata,Punch,2019,BS4,Carburettor,Steel,10,Tata India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Tata,Punch,2022,BS6,Fuel_Injection,Plastic,10,Tata India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Tata,Punch,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Tata India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Tata,Altroz,2016,BS3,Carburettor,Steel,5,Tata India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Tata,Altroz,2019,BS4,Carburettor,Steel,10,Tata India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Tata,Altroz,2022,BS6,Fuel_Injection,Plastic,10,Tata India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Tata,Altroz,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Tata India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Tata,Harrier,2016,BS3,Carburettor,Steel,5,Tata India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Tata,Harrier,2019,BS4,Carburettor,Steel,10,Tata India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Tata,Harrier,2022,BS6,Fuel_Injection,Plastic,10,Tata India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Tata,Harrier,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Tata India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Tata,Safari,2016,BS3,Carburettor,Steel,5,Tata India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Tata,Safari,2019,BS4,Carburettor,Steel,10,Tata India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Tata,Safari,2022,BS6,Fuel_Injection,Plastic,10,Tata India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Tata,Safari,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Tata India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Tata,Indica,2016,BS3,Carburettor,Steel,5,Tata India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Tata,Indica,2019,BS4,Carburettor,Steel,10,Tata India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Tata,Indica,2022,BS6,Fuel_Injection,Plastic,10,Tata India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Tata,Indica,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Tata India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Tata,Indigo,2016,BS3,Carburettor,Steel,5,Tata India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Tata,Indigo,2019,BS4,Carburettor,Steel,10,Tata India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Tata,Indigo,2022,BS6,Fuel_Injection,Plastic,10,Tata India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Tata,Indigo,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Tata India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Tata,Zest,2016,BS3,Carburettor,Steel,5,Tata India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Tata,Zest,2019,BS4,Carburettor,Steel,10,Tata India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Tata,Zest,2022,BS6,Fuel_Injection,Plastic,10,Tata India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Tata,Zest,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Tata India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Mahindra,XUV700,2016,BS3,Carburettor,Steel,5,Mahindra India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Mahindra,XUV700,2019,BS4,Carburettor,Steel,10,Mahindra India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Mahindra,XUV700,2022,BS6,Fuel_Injection,Plastic,10,Mahindra India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Mahindra,XUV700,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Mahindra India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Mahindra,XUV300,2016,BS3,Carburettor,Steel,5,Mahindra India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Mahindra,XUV300,2019,BS4,Carburettor,Steel,10,Mahindra India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Mahindra,XUV300,2022,BS6,Fuel_Injection,Plastic,10,Mahindra India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Mahindra,XUV300,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Mahindra India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Mahindra,Scorpio,2016,BS3,Carburettor,Steel,5,Mahindra India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Mahindra,Scorpio,2019,BS4,Carburettor,Steel,10,Mahindra India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Mahindra,Scorpio,2022,BS6,Fuel_Injection,Plastic,10,Mahindra India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Mahindra,Scorpio,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Mahindra India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Mahindra,Scorpio-N,2016,BS3,Carburettor,Steel,5,Mahindra India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Mahindra,Scorpio-N,2019,BS4,Carburettor,Steel,10,Mahindra India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Mahindra,Scorpio-N,2022,BS6,Fuel_Injection,Plastic,10,Mahindra India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Mahindra,Scorpio-N,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Mahindra India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Mahindra,Thar,2016,BS3,Carburettor,Steel,5,Mahindra India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Mahindra,Thar,2019,BS4,Carburettor,Steel,10,Mahindra India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Mahindra,Thar,2022,BS6,Fuel_Injection,Plastic,10,Mahindra India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Mahindra,Thar,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Mahindra India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Mahindra,Bolero,2016,BS3,Carburettor,Steel,5,Mahindra India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Mahindra,Bolero,2019,BS4,Carburettor,Steel,10,Mahindra India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Mahindra,Bolero,2022,BS6,Fuel_Injection,Plastic,10,Mahindra India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Mahindra,Bolero,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Mahindra India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Mahindra,XUV400,2016,BS3,Carburettor,Steel,5,Mahindra India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Mahindra,XUV400,2019,BS4,Carburettor,Steel,10,Mahindra India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Mahindra,XUV400,2022,BS6,Fuel_Injection,Plastic,10,Mahindra India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Mahindra,XUV400,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Mahindra India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Mahindra,Marazzo,2016,BS3,Carburettor,Steel,5,Mahindra India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Mahindra,Marazzo,2019,BS4,Carburettor,Steel,10,Mahindra India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Mahindra,Marazzo,2022,BS6,Fuel_Injection,Plastic,10,Mahindra India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Mahindra,Marazzo,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Mahindra India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Mahindra,KUV100,2016,BS3,Carburettor,Steel,5,Mahindra India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Mahindra,KUV100,2019,BS4,Carburettor,Steel,10,Mahindra India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Mahindra,KUV100,2022,BS6,Fuel_Injection,Plastic,10,Mahindra India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Mahindra,KUV100,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Mahindra India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Honda,City,2016,BS3,Carburettor,Steel,5,Honda India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Honda,City,2019,BS4,Carburettor,Steel,10,Honda India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Honda,City,2022,BS6,Fuel_Injection,Plastic,10,Honda India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Honda,City,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Honda India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Honda,Amaze,2016,BS3,Carburettor,Steel,5,Honda India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Honda,Amaze,2019,BS4,Carburettor,Steel,10,Honda India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Honda,Amaze,2022,BS6,Fuel_Injection,Plastic,10,Honda India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Honda,Amaze,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Honda India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Honda,WR-V,2016,BS3,Carburettor,Steel,5,Honda India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Honda,WR-V,2019,BS4,Carburettor,Steel,10,Honda India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
